*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=extruder control 4
*Date=15:57:29
*CreatedBy=Fritzing 0.9.3b.04.19.5c895d327c44a3114e5fcc9d8260daf0cbb52806
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
194;;;52.0954;-1.7018;0;Bottom;Copper Fill131
195;;;19.0541;-29.3854;0;Bottom;Via30
196;;;80.391;-19.2913;0;Bottom;Copper Fill163
197;;;80.0354;-1.7018;0;Bottom;Copper Fill140
198;;;43.1165;-1.9304;0;Bottom;Copper Fill151
199;;;10.1641;-26.8454;0;Bottom;Via3
200;;;95.25;-16.6878;0;Bottom;Copper Fill120
201;;;44.4754;-1.7018;0;Bottom;Copper Fill130
202;;;95.25;-14.1478;0;Bottom;Copper Fill121
203;;;25.7048;-3.3528;0;Bottom;Copper Fill29
204;;;50.8468;-26.8454;0;Bottom;Part1
205;1M;0603 [SMD];43.8663;-15.0113;90;Top;R41
206;;;15.2273;-12.446;0;Bottom;Copper Fill75
207;0.01µF;0603 [SMD, multilayer];80.0142;-18.3754;-90;Top;C63
208;;;30.4841;-17.9554;0;Bottom;Via5
209;0.1µF;0603 [SMD, multilayer];10.1616;-22.6179;-90;Top;C26
210;;;45.3644;-24.3586;0;Bottom;Copper Fill110
211;;;77.4954;-1.7018;0;Bottom;Copper Fill45
212;;;95.25;-37.0078;0;Bottom;Copper Fill99
213;;;49.9364;-15.4813;0;Bottom;Copper Fill194
214;1M;0603 [SMD];10.1641;-15.0109;90;Top;R35
215;;;97.5614;-44.6278;0;Bottom;Copper Fill9
216;0.01µF;0603 [SMD, multilayer];10.1642;-18.8081;-90;Top;C17
217;;;36.8554;-1.7018;0;Bottom;Copper Fill33
218;;;52.0954;-1.7018;0;Bottom;Copper Fill37
219;;;95.25;-34.4678;0;Bottom;Copper Fill100
220;;;19.4818;-23.1013;0;Bottom;Copper Fill71
221;;;85.1154;-1.7018;0;Bottom;Copper Fill142
222;;;15.6718;-15.4813;0;Bottom;Copper Fill192
223;;;35.5641;-23.0354;0;Bottom;Via27
224;;;95.25;-11.6078;0;Bottom;Copper Fill122
