*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=extruder control 4
*Date=19:31:12
*CreatedBy=Fritzing 0.9.3b.04.19.5c895d327c44a3114e5fcc9d8260daf0cbb52806
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
230;;;15.2273;-13.4366;0;Bottom;Copper Fill74
231;;;95.25;-42.0878;0;Bottom;Copper Fill96
232;10µF;A 3216 [SMD, tantalum];67.314;-16.8154;90;Top;C62
233;;;19.054;-23.0354;0;Bottom;Via28
234;;;52.8193;-24.384;0;Bottom;Copper Fill211
235;;;19.054;-29.3854;0;Bottom;Via30
236;;;48.9712;-12.9413;0;Bottom;Copper Fill79
237;0.01µF;0603 [SMD, multilayer];43.8743;-18.7781;-90;Top;C53
238;1M;0603 [SMD];80.0142;-14.5654;90;Top;R47
239;;;67.3354;-1.7018;0;Bottom;Copper Fill137
240;0.01µF;0603 [SMD, multilayer];62.2342;-18.3754;-90;Top;C58
241;;msop8;23.844;-25.2504;90;Top;U7
242;;;95.25;-47.1678;0;Bottom;Copper Fill92
243;;;67.7164;-15.4813;0;Bottom;Copper Fill195
244;;;77.4954;-1.7018;0;Bottom;Copper Fill45
245;;;95.25;-16.6878;0;Bottom;Copper Fill22
246;;;3.7973;-47.3456;0;Bottom;Copper Fill155
247;;;74.041;-24.9301;0;Bottom;Copper Fill190
248;;;19.7612;-31.9913;0;Bottom;Copper Fill210
249;;;87.9348;-21.1201;0;Bottom;Copper Fill176
250;;;97.3074;-7.8613;0;Bottom;Copper Fill147
251;;;82.554;-16.6854;0;Bottom;Via14
252;100;0603 [SMD];74.9342;-14.5461;-90;Top;R45
253;;;33.528;-48.4886;0;Bottom;Copper Fill2
254;;msop8;75.914;-25.2045;90;Top;U10
255;;;62.2554;-1.7018;0;Bottom;Copper Fill135
256;;;87.9348;-28.1305;0;Bottom;Copper Fill178
257;;;52.0954;-1.7018;0;Bottom;Copper Fill131
258;;;82.5754;-1.7018;0;Bottom;Copper Fill47
259;;;45.724;-17.9554;0;Bottom;Via8
260;;;48.9712;-12.9413;0;Bottom;Copper Fill204
261;;;43.1165;-3.6322;0;Bottom;Copper Fill148
262;;;18.4912;-29.4513;0;Bottom;Copper Fill87
263;;;80.391;-19.2913;0;Bottom;Copper Fill163
264;;;2.54408;-17.9554;0;Bottom;Via2
265;;;93.0656;-7.8613;0;Bottom;Copper Fill52
266;;;32.9565;-12.446;0;Bottom;Copper Fill200
267;;;66.7512;-12.9413;0;Bottom;Copper Fill207
268;;;95.25;-19.2278;0;Bottom;Copper Fill21
269;;;97.5614;-47.1678;0;Bottom;Copper Fill93
270;;;49.9364;-15.4813;0;Bottom;Copper Fill194
271;0.01µF;0603 [SMD, multilayer];59.6942;-18.3754;90;Top;C60
272;;;38.608;-48.4886;0;Bottom;Copper Fill4
273;;;95.25;-37.0078;0;Bottom;Copper Fill99
274;;;32.9565;-39.9796;0;Bottom;Copper Fill169
275;1µF;0603 [SMD, multilayer];5.08408;-18.8178;90;Top;C20
276;;;31.7754;-1.7018;0;Bottom;Copper Fill125
277;;;29.2354;-1.7018;0;Bottom;Copper Fill124
278;10µF;A 3216 [SMD, tantalum];33.024;-16.8154;90;Top;C52
279;;;18.4912;-29.4513;0;Bottom;Copper Fill213
280;;;62.611;-19.2913;0;Bottom;Copper Fill162
281;;;25.404;-21.7654;0;Bottom;Via17
282;;;80.0354;-1.7018;0;Bottom;Copper Fill46
283;;;39.3954;-1.7018;0;Bottom;Copper Fill128
284;;;69.977;-26.7208;0;Bottom;Copper Fill106
285;;THT;6.58106;-8.55593;90;Bottom;J11
286;100;0603 [SMD];38.794;-14.9954;-90;Top;R39
287;;;26.3525;-51.8668;0;Bottom;Copper Fill56
288;;;85.0265;-14.8082;0;Bottom;Copper Fill164
289;;;71.5518;-23.1013;0;Bottom;Copper Fill70
290;;;95.25;-24.3078;0;Bottom;Copper Fill19
291;;;26.416;-12.0904;0;Bottom;Copper Fill118
292;;;39.3954;-1.7018;0;Bottom;Copper Fill34
293;;;29.2354;-1.7018;0;Bottom;Copper Fill30
294;;;40.5765;-1.9304;0;Bottom;Copper Fill153
295;;;18.9865;-32.8168;0;Bottom;Copper Fill209
296;;;97.5614;-47.1678;0;Bottom;Copper Fill7
297;;;14.7066;-12.9413;0;Bottom;Copper Fill198
298;;;34.3154;-1.7018;0;Bottom;Copper Fill126
299;1µF;0603 [SMD, multilayer];22.8642;-18.8011;90;Top;C49
300;;;97.5614;-42.0878;0;Bottom;Copper Fill97
301;1µF;0603 [SMD, multilayer];38.7903;-18.8054;90;Top;C54
302;;;50.804;-23.0354;0;Bottom;Via26
303;;THT;23.781;-8.5574;90;Bottom;J23
304;;;95.25;-29.3878;0;Bottom;Copper Fill102
305;;;41.4782;-40.8813;0;Bottom;Copper Fill63
306;;;95.25;-29.3878;0;Bottom;Copper Fill17
307;;;95.25;-21.7678;0;Bottom;Copper Fill114
308;;;41.9354;-1.7018;0;Bottom;Copper Fill35
309;;;20.324;-17.9554;0;Bottom;Via4
310;;;10.541;-21.8313;0;Bottom;Copper Fill171
311;;;95.25;-11.6078;0;Bottom;Copper Fill25
312;;;57.1754;-1.7018;0;Bottom;Copper Fill39
313;;;42.672;-22.987;0;Bottom;Copper Fill113
314;;;44.4754;-1.7018;0;Bottom;Copper Fill130
